POA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA3000,17,18,11,8,15,4,12,86,7,0,0,0,0,3,0,16,0,0,0,0,3,0,0,4,34,47,28,27,44,31,29,247,0,4,0,0,0,5,0,13,0,0,0,0,0,3,0,5,3,4,0,0,0,9,0,19,34,52,28,36,44,36,29,267,25,17,18,23,22,52,35,191,0,0,0,0,0,0,0,4,67,74,44,56,69,91,64,463
POA3002,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,12,4,4,4,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,12,7,4,4,5,52,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,17,9,9,8,4,5,64
POA3003,0,5,3,5,5,6,4,31,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,4,4,14,16,12,24,12,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,7,7,12,16,12,25,13,14,96,6,4,0,0,8,8,0,38,0,0,0,0,0,0,0,0,15,21,19,13,33,15,14,129
POA3004,5,14,5,6,8,3,9,42,0,0,0,5,0,0,0,7,3,0,0,0,0,0,0,8,18,30,20,20,23,15,12,131,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,4,0,0,9,18,28,20,24,26,15,12,139,14,8,8,10,13,8,8,69,0,0,0,0,0,0,0,0,33,35,22,33,40,25,18,206
POA3006,11,14,10,9,5,3,9,67,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,30,49,25,21,28,37,17,217,3,0,0,0,0,0,6,11,3,0,0,0,0,3,0,7,5,3,0,0,0,3,6,22,44,56,28,21,34,36,20,232,22,28,16,8,22,12,23,128,0,0,0,0,0,0,0,3,61,81,42,36,56,48,40,366
POA3008,3,6,0,3,3,8,6,33,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,22,28,3,13,15,21,11,109,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,4,0,0,5,3,0,13,20,28,8,15,17,16,14,119,18,15,6,7,11,10,17,87,0,0,0,0,0,0,0,0,37,44,14,19,29,30,27,206
POA3011,27,40,24,16,19,11,12,136,4,4,0,0,0,0,0,10,7,0,0,0,0,0,0,3,47,102,58,38,58,26,23,352,0,5,7,0,0,0,0,10,0,5,3,5,0,0,0,15,4,13,5,6,0,0,0,28,53,112,65,46,59,26,23,384,41,38,20,10,15,11,6,153,0,0,0,0,0,0,0,5,95,154,85,50,76,40,32,539
POA3012,31,45,34,25,27,21,12,202,6,11,3,3,13,6,4,45,0,0,4,0,0,0,0,10,68,142,100,64,107,73,39,587,0,6,5,4,5,3,0,20,0,12,3,0,0,0,0,25,0,15,9,5,7,4,0,45,68,154,106,72,114,73,39,630,51,74,37,27,40,20,10,262,0,0,5,4,0,0,0,10,119,232,143,101,152,93,49,897
POA3013,17,29,23,13,13,11,6,122,0,3,0,3,4,0,0,8,0,0,0,0,0,0,0,0,24,77,58,42,43,31,22,297,6,0,4,0,0,3,0,12,6,0,0,0,0,0,0,10,4,0,4,0,3,3,0,25,30,82,65,45,43,33,20,317,14,20,13,9,13,3,6,82,0,0,0,0,0,0,0,0,44,105,83,51,58,38,27,399
POA3015,20,43,31,19,30,20,8,168,3,10,0,0,0,0,0,11,0,0,0,0,0,0,0,6,39,99,89,68,94,55,16,463,0,4,0,0,3,0,3,8,0,3,3,0,0,0,0,11,0,3,3,0,10,0,3,20,42,105,95,70,99,55,18,484,23,24,19,10,7,8,5,104,0,4,0,0,0,0,0,4,63,133,108,81,110,67,30,591
POA3016,9,31,23,21,15,12,10,106,10,12,4,4,0,0,3,33,0,0,0,3,0,0,0,9,18,78,79,54,71,48,35,376,0,4,4,3,3,3,0,13,0,0,0,0,0,0,0,5,0,6,4,3,6,4,0,21,22,80,79,56,73,45,33,394,21,27,12,15,6,8,3,95,0,0,0,0,0,0,0,3,42,108,93,72,81,56,33,488
POA3018,14,28,18,12,21,12,3,109,5,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,29,78,60,51,61,29,24,330,0,0,3,3,0,3,0,14,6,10,0,0,0,0,0,12,6,5,3,3,0,0,0,19,30,82,62,54,65,38,20,351,24,15,10,10,11,0,4,87,0,0,0,0,0,0,0,0,51,98,77,66,77,41,26,433
POA3019,15,21,19,3,11,12,7,92,5,7,0,0,3,0,0,13,0,4,0,0,0,0,0,6,29,43,46,21,38,33,16,229,0,0,6,0,7,3,0,19,4,5,4,3,3,6,5,21,3,10,8,4,6,4,5,40,32,56,58,26,48,38,14,273,53,57,46,37,45,28,13,275,4,0,6,4,0,0,0,13,88,112,104,71,95,68,28,556
POA3020,53,116,83,68,81,41,22,463,14,18,4,6,12,4,3,59,4,9,6,4,5,5,3,32,132,253,190,139,191,125,67,1089,6,14,5,5,12,15,3,57,14,17,11,6,18,11,7,80,22,28,18,13,28,22,11,136,152,280,206,149,215,148,82,1224,209,237,143,100,121,78,49,937,10,6,8,4,3,0,7,38,365,522,357,258,333,226,136,2203
POA3021,99,179,104,75,117,75,40,685,6,13,4,0,18,11,9,67,6,12,4,8,12,11,4,48,170,315,207,156,257,171,98,1367,9,18,9,15,22,29,7,112,12,46,38,18,27,17,5,170,20,65,52,36,52,44,17,280,190,384,260,189,304,208,112,1650,266,407,210,177,200,121,64,1443,12,16,18,10,14,3,0,73,468,811,484,373,520,337,177,3168
POA3022,11,14,4,8,6,6,0,45,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,28,18,8,13,7,4,105,0,0,0,0,0,0,0,9,3,6,4,0,0,0,0,6,3,3,4,0,0,3,0,13,30,31,21,8,13,11,5,117,12,18,9,0,7,5,0,48,0,0,0,0,0,0,0,0,43,47,26,14,16,13,4,161
POA3023,70,170,121,96,159,63,39,709,24,28,17,11,21,12,13,134,9,19,12,0,10,5,0,57,184,394,290,240,393,196,101,1796,11,22,18,21,18,11,6,109,21,45,13,28,23,12,3,147,31,68,35,44,40,22,16,259,215,461,321,285,434,224,114,2055,212,265,177,120,129,80,58,1041,8,16,9,6,7,0,4,47,440,743,505,408,567,301,170,3144
POA3024,84,124,95,57,70,26,10,463,11,16,19,6,9,5,0,57,8,12,6,6,3,0,0,26,153,276,186,125,176,72,40,1024,14,15,14,13,12,0,5,69,19,20,3,10,8,0,0,56,33,37,17,14,17,0,5,131,188,307,207,138,197,74,43,1152,216,230,134,92,107,29,19,819,5,3,5,4,4,0,0,20,412,542,341,232,310,104,62,1994
POA3025,15,34,27,21,19,16,13,133,3,6,6,6,5,0,0,18,0,0,0,0,0,0,0,0,29,74,51,48,53,24,26,313,4,7,6,3,6,7,0,25,0,8,5,0,6,0,3,19,3,8,11,3,5,7,3,41,35,83,66,58,62,32,28,359,43,40,28,22,23,8,3,160,0,3,0,4,0,0,0,8,78,125,91,79,81,41,29,524
POA3026,14,24,15,15,17,8,3,97,0,5,5,3,0,0,0,7,6,4,0,0,0,0,0,9,32,67,39,28,46,23,12,247,0,5,0,3,4,0,0,11,0,4,11,0,0,0,0,19,3,5,12,5,8,0,0,26,38,69,43,27,49,24,9,268,25,39,19,10,8,6,13,119,0,5,0,0,3,0,0,11,64,114,68,41,62,33,21,400
POA3027,15,12,9,3,9,6,0,49,4,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,29,48,20,15,29,19,16,179,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,14,32,54,23,15,33,24,16,195,14,13,8,11,21,16,3,82,0,0,0,0,0,0,0,0,46,68,33,22,53,31,14,277
POA3028,38,80,67,44,55,25,25,337,3,5,7,0,4,5,0,22,3,6,0,3,0,0,0,23,78,149,133,81,127,69,49,678,11,13,7,0,9,3,0,45,9,3,8,6,0,0,0,24,16,19,19,4,6,3,3,67,93,166,147,87,133,72,48,743,100,107,61,43,36,26,15,383,6,4,0,0,0,0,0,14,191,277,207,132,171,99,68,1141
POA3029,195,309,201,149,189,81,36,1162,33,44,24,21,24,18,12,175,14,33,24,5,6,9,3,94,401,753,535,359,496,239,131,2915,36,44,19,13,28,7,10,167,37,74,34,23,20,9,3,199,71,123,53,42,48,17,10,359,476,868,585,397,540,257,141,3277,508,503,285,196,231,84,54,1860,24,31,13,15,10,3,0,89,1001,1404,889,601,778,345,201,5224
POA3030,180,333,210,169,210,81,57,1233,49,47,25,25,33,13,8,193,15,12,14,11,12,7,0,69,383,764,551,421,559,252,132,3062,20,53,31,24,19,7,10,161,37,59,32,31,28,8,9,196,60,113,63,46,49,14,16,363,440,876,611,471,610,265,147,3425,508,553,240,197,212,109,70,1880,30,17,7,6,3,0,0,62,974,1440,862,672,821,376,218,5366
POA3031,17,43,20,18,24,19,3,144,6,5,0,3,0,0,3,17,7,0,0,0,0,0,0,5,43,90,39,43,69,40,23,352,8,8,5,0,0,4,0,21,10,4,5,0,7,3,0,27,10,7,5,3,9,5,3,52,54,96,50,46,71,50,23,399,66,64,36,22,36,19,16,257,0,0,0,0,6,0,0,3,125,163,83,65,110,65,39,660
POA3032,33,37,38,30,35,31,14,212,6,3,4,0,0,0,0,15,0,0,0,0,4,0,0,9,56,113,94,81,103,74,42,569,4,6,0,3,4,7,5,27,3,0,0,5,7,0,6,19,10,5,3,8,9,11,7,47,68,120,99,89,113,80,51,611,74,65,37,22,30,20,10,269,3,6,0,0,0,0,0,8,148,189,133,113,144,103,59,889
POA3033,11,37,32,21,29,16,3,145,0,4,0,0,0,0,0,11,0,0,0,0,4,0,0,8,16,87,63,56,67,43,30,370,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,11,21,91,63,54,70,48,26,383,23,35,17,13,12,14,5,121,0,0,0,0,4,0,0,3,49,125,83,70,86,62,29,505
POA3034,14,19,18,21,24,13,4,117,8,0,0,3,3,0,3,14,0,0,0,0,0,0,0,0,33,50,45,34,63,29,19,274,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,10,3,4,5,0,0,0,0,12,34,57,45,35,61,33,21,285,20,25,12,8,10,9,8,95,0,0,0,0,0,0,0,0,51,76,57,43,75,42,27,375
POA3036,5,4,7,7,7,9,5,41,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,4,16,13,20,20,28,13,9,115,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,7,20,13,25,20,28,13,11,123,6,12,3,4,3,3,0,36,0,0,0,3,0,0,0,3,23,28,27,28,27,16,11,161
POA3037,71,110,108,73,93,50,31,527,10,19,22,7,15,7,5,72,8,9,0,7,0,4,0,34,141,271,232,156,256,153,90,1296,10,17,19,13,15,9,4,88,4,25,4,14,10,7,3,68,16,43,28,26,27,13,8,159,151,310,265,180,279,165,99,1457,107,174,107,77,84,36,41,624,0,6,0,0,0,6,0,11,258,486,371,258,371,211,139,2091
POA3038,20,44,36,30,45,25,22,227,4,3,3,3,14,0,0,29,0,0,0,0,0,0,4,9,46,123,103,80,120,72,61,608,4,5,11,5,4,4,3,37,0,6,3,0,4,0,0,14,10,10,11,5,6,8,3,52,57,126,117,85,123,81,60,656,67,80,29,35,42,21,15,284,4,6,0,0,5,0,0,12,126,210,150,122,164,98,74,954
POA3039,10,28,17,9,9,11,8,92,0,3,0,6,0,0,0,5,0,0,0,0,0,0,0,6,22,65,39,24,47,27,18,242,0,3,3,4,0,0,0,7,7,3,0,0,0,0,0,11,7,5,0,3,0,0,0,23,24,64,46,31,46,30,20,261,12,17,12,9,9,3,7,74,0,5,0,0,0,0,0,7,35,90,54,44,59,33,18,338
POA3040,6,26,35,39,38,27,15,190,4,0,0,0,6,5,0,17,0,0,0,0,3,0,3,8,39,83,99,88,113,72,42,534,0,0,0,4,6,7,0,13,0,0,0,3,0,0,0,13,0,0,0,7,3,7,0,25,36,85,103,92,122,79,42,555,13,29,23,13,26,9,19,131,0,0,0,0,0,0,0,3,49,116,127,106,142,87,57,691
POA3041,17,17,18,12,12,12,8,93,0,0,0,7,8,7,0,22,0,0,0,0,0,0,0,0,22,42,60,54,71,48,27,319,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,0,5,3,3,0,0,0,7,22,43,56,54,70,48,27,333,19,9,15,9,9,4,0,62,0,0,0,0,0,0,0,3,40,62,75,58,82,55,29,394
POA3042,22,40,29,26,39,30,11,200,9,0,3,0,0,0,3,14,0,0,0,0,0,5,0,4,49,74,79,56,83,75,26,445,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,9,0,5,0,6,7,0,0,17,51,86,79,60,90,75,26,456,41,29,20,17,10,8,3,134,6,0,3,0,0,0,0,5,94,113,103,78,101,79,31,594
POA3043,24,48,43,27,32,11,9,195,4,6,0,3,6,4,0,21,0,0,0,0,3,0,0,3,50,100,76,78,98,38,27,474,3,0,0,3,3,3,0,16,0,4,5,5,3,4,0,24,4,7,4,10,4,7,0,35,57,105,83,85,104,46,34,505,40,64,46,18,24,22,9,215,0,5,0,0,0,0,0,6,87,171,129,105,128,61,41,728
POA3044,19,48,52,25,37,26,10,218,8,4,5,6,4,7,4,40,4,4,0,4,0,5,0,19,50,128,117,72,128,79,36,612,0,0,0,5,0,0,0,9,8,8,11,3,0,3,0,25,3,8,10,0,4,4,0,37,54,137,126,78,135,82,41,647,43,51,36,26,28,22,19,222,0,0,0,0,0,0,0,0,100,185,158,98,158,101,61,869
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,48,66,51,35,48,18,15,285,9,11,4,4,13,0,3,42,0,0,0,0,0,0,0,8,86,140,112,73,138,71,52,672,3,5,10,10,9,7,0,40,10,24,3,4,5,4,0,46,10,26,14,11,6,11,0,85,94,168,124,91,152,78,55,754,117,129,60,48,75,39,24,488,4,6,0,0,0,0,0,5,216,297,182,137,224,121,81,1252
POA3047,33,53,38,16,30,18,11,205,0,5,0,3,7,0,0,25,4,3,4,0,0,0,0,14,56,93,63,34,79,39,19,382,7,3,4,5,5,4,0,24,0,15,8,3,7,7,0,40,7,18,12,5,11,9,3,65,64,110,73,43,91,46,22,448,150,164,120,90,111,42,21,694,3,9,6,3,0,0,0,23,216,288,189,136,199,83,42,1164
POA3048,13,43,24,15,34,20,11,161,4,0,3,6,4,0,0,19,0,6,8,0,0,0,3,25,33,77,54,45,59,44,20,338,0,0,0,3,0,0,0,14,0,10,10,8,0,3,0,34,4,12,6,13,3,3,3,44,38,87,64,55,61,47,25,386,136,180,94,91,108,49,39,693,4,3,0,0,0,0,0,12,177,270,158,149,173,97,68,1089
POA3049,13,21,15,8,23,5,10,96,0,3,3,4,0,7,0,15,0,0,0,0,0,0,0,0,31,53,40,32,51,28,15,251,0,0,0,3,5,3,0,10,4,3,0,0,4,0,0,9,4,10,5,3,8,3,0,26,36,55,38,33,65,31,20,274,30,22,25,16,16,12,6,122,0,0,0,0,0,0,0,0,61,83,69,44,81,39,26,396
POA3051,23,25,21,16,27,14,8,138,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,5,25,62,64,46,61,36,10,301,0,4,3,0,0,0,0,9,7,5,3,0,8,8,0,31,7,8,5,0,8,8,0,32,32,72,66,44,67,40,12,337,41,59,14,24,35,8,17,189,8,6,0,3,0,0,0,14,79,130,88,69,103,50,29,544
POA3052,3,13,3,3,5,0,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,18,6,11,14,8,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,6,11,14,8,6,76,4,5,0,4,9,6,5,37,0,0,0,0,0,0,0,0,15,26,12,16,25,17,10,114
POA3053,13,8,9,14,18,21,3,88,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,5,26,27,25,22,25,33,9,160,0,0,0,0,0,0,0,0,7,3,6,3,0,0,0,25,7,8,7,3,0,0,0,26,27,34,30,21,27,34,12,183,29,33,26,12,16,26,14,149,3,9,0,0,0,0,0,13,57,71,58,32,46,60,23,346
POA3054,12,12,0,3,8,13,0,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,20,31,19,9,23,20,4,120,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,11,20,33,23,13,22,20,4,127,8,13,13,3,4,5,0,41,0,0,0,0,0,0,0,0,23,47,36,12,28,22,3,172
POA3055,13,24,21,7,10,9,3,88,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,26,59,45,28,36,28,15,232,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,10,26,63,45,24,39,30,16,245,20,19,9,10,12,8,8,81,0,0,0,0,0,0,0,0,52,78,50,30,50,38,26,327
POA3056,9,45,36,17,20,17,5,149,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,29,86,66,39,63,39,21,339,0,3,0,0,4,0,0,3,0,0,4,0,0,0,0,10,0,5,4,0,5,0,0,13,29,88,64,44,68,39,21,355,21,21,19,4,11,6,4,85,0,0,0,0,0,0,0,0,48,111,86,50,78,48,30,445
POA3057,11,17,17,9,16,9,6,87,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,51,45,27,38,29,9,228,0,6,0,0,0,0,0,11,0,3,0,3,0,0,0,7,5,9,3,6,0,0,0,23,21,62,43,28,43,31,9,247,7,9,8,3,8,5,4,50,0,0,0,0,0,0,0,0,35,69,53,33,51,40,18,296
POA3058,30,60,59,33,43,24,10,259,16,7,0,0,4,3,0,27,0,0,0,0,0,0,0,0,71,137,123,72,125,88,34,651,4,4,5,9,4,0,5,24,0,10,5,0,0,0,0,17,4,12,14,9,8,0,5,45,78,147,128,78,129,90,38,691,41,67,26,28,38,21,15,242,0,4,0,0,0,0,0,4,123,219,165,107,169,105,54,940
POA3059,21,39,30,29,37,28,10,192,12,7,4,4,5,6,0,34,0,0,4,0,0,0,0,4,48,88,63,70,75,61,37,441,4,5,0,6,4,0,0,16,0,5,0,5,0,0,0,21,4,13,5,5,3,0,0,31,51,103,67,72,82,64,42,478,44,54,41,17,40,18,14,221,0,0,0,0,0,0,0,4,92,151,105,98,117,87,49,704
POA3060,10,21,14,17,24,13,3,102,0,0,5,0,0,0,0,8,0,5,0,0,0,0,0,3,14,36,35,31,40,23,9,194,0,0,0,0,0,0,0,10,0,10,7,12,0,0,0,33,6,10,7,12,5,4,0,42,17,48,44,44,48,25,9,235,36,52,38,37,33,12,4,211,4,3,0,0,0,0,0,10,57,110,78,73,79,39,20,451
POA3061,5,6,7,5,3,0,0,37,0,3,0,0,0,0,0,7,0,0,5,0,0,0,0,9,8,17,18,8,12,8,0,66,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,8,15,15,16,7,12,5,4,82,31,23,17,10,13,12,6,110,0,0,0,0,0,0,0,0,47,44,33,18,24,19,8,193
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,10
POA3064,157,287,184,123,159,98,46,1053,31,27,24,18,24,13,5,141,13,18,8,8,12,10,3,67,320,572,374,278,399,227,125,2297,14,34,21,10,19,10,6,107,17,53,33,14,20,6,10,145,26,82,53,21,37,17,11,248,350,656,428,297,440,247,136,2550,534,590,316,212,256,142,68,2134,13,29,17,8,3,3,0,76,894,1283,760,526,706,395,206,4759
POA3065,16,15,20,7,8,9,7,84,0,5,0,5,0,0,0,3,0,0,6,0,3,4,0,8,33,35,34,21,19,20,9,159,4,3,0,0,3,0,0,14,6,6,3,0,0,0,0,10,6,13,7,4,4,0,0,25,37,50,41,20,20,20,9,189,52,41,24,14,13,15,10,173,7,5,0,0,0,0,0,16,94,94,64,41,40,36,14,375
POA3066,8,25,14,6,8,4,0,68,0,0,4,0,4,4,0,9,0,0,0,0,0,0,0,0,14,35,27,7,15,11,5,118,3,3,5,3,3,0,0,25,0,0,4,0,6,0,0,15,5,5,7,5,8,0,0,33,18,44,36,16,23,18,7,150,64,49,30,24,25,9,5,204,3,3,3,0,0,0,0,13,85,98,65,36,51,28,10,363
POA3067,5,7,3,6,3,6,4,34,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,32,13,14,11,13,9,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,13,14,11,13,9,105,7,3,6,5,3,4,0,29,0,0,0,0,0,0,0,0,20,40,16,20,17,16,10,135
POA3068,10,24,21,16,14,5,7,102,3,0,3,0,0,0,0,7,0,3,0,0,0,0,0,8,21,70,50,37,42,28,11,273,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,8,3,5,5,5,0,0,0,11,30,74,53,42,45,28,17,288,20,18,24,12,20,13,11,122,0,0,0,0,0,0,0,5,48,92,78,55,65,41,23,409
POA3070,24,50,31,27,44,24,10,207,3,5,0,0,0,0,0,11,0,0,0,0,3,0,0,3,43,86,86,83,121,48,25,491,0,0,0,5,3,0,0,15,0,6,5,4,0,0,0,14,0,7,4,3,6,0,0,21,45,97,90,90,128,47,30,517,20,20,14,12,19,12,12,108,0,0,0,0,0,0,0,0,61,111,103,102,141,63,38,625
POA3071,13,39,31,18,27,18,7,156,4,3,4,0,0,0,0,20,0,0,0,0,0,0,0,3,30,71,74,46,75,48,17,360,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,12,0,0,0,7,3,0,4,13,29,77,75,48,80,50,18,376,17,28,14,11,8,13,5,100,0,0,3,0,0,0,0,3,52,106,94,63,92,59,26,478
POA3072,41,70,51,39,51,27,14,295,7,4,3,3,0,4,5,21,0,0,0,0,0,0,0,0,69,148,95,83,127,60,43,621,4,5,5,0,0,3,4,18,0,4,0,8,0,3,0,19,3,9,9,10,0,5,4,35,71,158,104,85,125,62,52,653,65,72,47,40,35,30,14,299,8,3,0,0,0,0,0,8,136,240,149,127,156,92,62,971
POA3073,65,99,72,52,73,43,17,427,18,8,3,0,9,0,5,34,4,7,3,3,0,0,0,23,119,225,151,133,180,91,50,957,7,0,3,5,7,3,3,26,5,24,5,8,12,0,3,59,13,21,12,13,15,4,9,87,136,249,162,144,199,101,54,1042,168,189,107,76,82,37,34,693,4,5,5,0,0,0,0,16,303,445,279,217,278,139,87,1752
POA3074,23,50,36,33,30,25,14,209,3,0,3,7,0,0,0,16,0,3,3,0,0,0,0,10,49,82,63,58,79,51,29,411,0,5,11,5,0,3,3,38,4,11,3,0,6,0,0,31,10,16,15,4,8,3,3,66,55,106,77,61,82,56,31,473,66,87,56,32,52,43,18,354,3,0,0,0,0,0,0,5,129,194,139,96,140,93,44,837
POA3075,14,44,34,28,44,18,16,200,4,12,0,3,3,5,0,29,0,3,3,4,3,0,0,12,36,95,68,54,81,52,35,415,0,4,6,4,4,3,0,28,5,13,10,6,6,3,0,42,5,20,15,9,11,7,3,63,39,117,82,59,92,56,35,480,89,113,74,74,71,36,15,474,0,4,0,0,0,0,0,8,131,226,158,130,167,91,52,958
POA3076,46,94,65,54,79,22,16,388,6,0,5,3,4,4,0,28,9,4,0,0,0,0,0,16,99,172,139,118,164,76,39,810,6,9,11,3,3,3,4,41,7,12,5,0,5,4,0,39,16,24,13,6,11,5,4,80,112,195,159,124,176,83,46,894,148,148,96,69,68,44,18,591,11,15,9,0,0,0,0,32,269,357,257,193,243,130,60,1507
